,at,like,loc,re,tag,time,twit
1536,[AnnCoulter],6400.0,,2300.0,,6:45 AM - 23 Jan 2016,".@AnnCoulter has been amazing. We will win and establish strong borders, we will build a WALL and Mexico will pay. We will be great again!"
1537,,8100.0,,3000.0,"[Trump2016, VoteTrump]",5:57 AM - 23 Jan 2016,"I will be the greatest job-producing president in American history. #Trump2016 #VoteTrump
https://www.facebook.com/DonaldTrump/videos/10156559989840725/ …pic.twitter.com/oc480lwVQg"
1538,[noamscheiber],3300.0,,1100.0,,5:35 AM - 23 Jan 2016,"""@noamscheiber: Dow down almost 2000 pts since start of year, but still outperforming Wall Street's investment in Jeb. JEB wants Common Core"
1539,[LukeBrinker],7600.0,,3300.0,,5:32 AM - 23 Jan 2016,"""@LukeBrinker: One year from today. pic.twitter.com/TcN6Z3XwyU"""
1540,,5400.0,,1300.0,,5:29 AM - 23 Jan 2016,I am in Iowa. Will be making two speeches today. Good luck to all of the great folks on the East coast. Enjoy the beauty of the storm!
1541,"[TheSouthwasRite, NRO, realDonaldTrump]",3400.0,,1100.0,"[Trump2016, RNC]",5:12 AM - 23 Jan 2016,"""@TheSouthwasRite: @NRO cancelling my subscription- you people are idiots. @realDonaldTrump WILL be our next President. #Trump2016 #RNC"""
1542,,5600.0,,2300.0,[Trump2016],7:08 PM - 22 Jan 2016,"A wonderful article by a writer who truly gets it. I am for the people and the people are for me. #Trump2016
http://republicannewswatch.com/wp/?p=13982 "
1543,,5500.0,,2100.0,,6:08 PM - 22 Jan 2016,"Is Cruz honest? He is in bed w/ Wall St. & is funded by Goldman Sachs/Citi, low interest loans. No legal disclosure & never sold off assets."
1544,,6000.0,,2300.0,[POTUS],6:04 PM - 22 Jan 2016,Cruz did not renounce his Canadian citizenship as a US Senator- only when he started to run for #POTUS. He could be Canadian Prime Minister.
1545,,6000.0,,2100.0,,5:34 PM - 22 Jan 2016,"Cruz says I supported TARP, which gave $25 million to Goldman Sachs, the bank which loaned him the money he didn't disclose. Puppet!"
1546,[glennbeck],5900.0,,2000.0,,5:33 PM - 22 Jan 2016,The only reason irrelevant @GlennBeck doesn't like me is I refused to do his failing show - asked many times. Very few listeners - sad!
1547,[BrentBozell],4900.0,,2000.0,,5:32 PM - 22 Jan 2016,".@BrentBozell, one of the National Review lightweights, came to my office begging for money like a dog. Why doesn't he say that?"
1548,,11000.0,,5100.0,,5:02 PM - 22 Jan 2016,"Just watched Jeb's ad where he desperately needed mommy to help him. Jeb --- mom can't help you with ISIS, the Chinese or with Putin."
1549,,4800.0,,1800.0,,3:58 PM - 22 Jan 2016,Ted Cruz went down big in just released Reuters poll - what's going on? Is it Goldman Sachs/Citi loans or Canada?
1550,,5900.0,,1900.0,[Trump2016],3:49 PM - 22 Jan 2016,"Rush Limbaugh is great, tells it as he sees it---really honorable guy! Thanks Rush! #Trump2016"
1551,,3600.0,,1100.0,,3:48 PM - 22 Jan 2016,The tax scam Washington Post does among the most inaccurate stories of all. Really dishonest reporting.
1552,,6200.0,,2300.0,[Trump2016],3:40 PM - 22 Jan 2016,"Just received the new Fox poll.
Thank you, America! #Trump2016pic.twitter.com/QKNineuS8H"
1553,,4800.0,,1800.0,,3:08 PM - 22 Jan 2016,Wow! New National Zogby Poll just out:.TRUMP 45. CRUZ 13. RUBIO 8. Big numbers.
1554,,4700.0,,1200.0,,2:56 PM - 22 Jan 2016,Leaving Nevada now for Iowa. Things are looking good - great new polls!
1555,,5500.0,,2400.0,"[MakeAmericaGreatAgain, Trump2016]",2:05 PM - 22 Jan 2016,"New National GOP Zogby Poll
#MakeAmericaGreatAgain #Trump2016
https://www.facebook.com/DonaldTrump/posts/10156559347565725:0 …pic.twitter.com/evqFrWKBD1"
1556,,5300.0,,2600.0,"[Trump2016, MakeAmericaGreatAgain]",1:39 PM - 22 Jan 2016,"""National Black Republican Association Endorses Donald J. Trump"" #Trump2016 #MakeAmericaGreatAgain
http://blackrepublican.blogspot.com/2016/01/national-black-republican-association.html …"
1557,,5700.0,,2800.0,"[MakeAmericaGreatAgain, Trump2016]",1:06 PM - 22 Jan 2016,"New Reuters poll! Thank you!
#MakeAmericaGreatAgain #Trump2016pic.twitter.com/KDVZoUia4I"
1558,[NRO],5600.0,,1900.0,,12:47 PM - 22 Jan 2016,The dying @NRO National Review has totally given up the fight against Barrack Obama. They have been losing for years. I will beat Hillary!
1559,,5900.0,,2600.0,,9:24 AM - 22 Jan 2016,Wow! This might be my highest # yet! Thank you to my opposition- you are totally ineffective & have been for years!http://www.forbes.com/sites/johnzogby/2016/01/21/new-zogby-poll-trump-leads-cruz-by-32-points-nationwide/#d739c517b32b …
1560,"[WhiteGenocideTM, realDonaldTrump]",9200.0,,4300.0,,7:51 AM - 22 Jan 2016,"""@WhiteGenocideTM: @realDonaldTrump Poor Jeb. I could've sworn I saw him outside Trump Tower the other day! pic.twitter.com/e5uLRubqla"""
1561,[Lisa_Milicaj],3700.0,,1100.0,,7:45 AM - 22 Jan 2016,"""@Lisa_Milicaj: Truth be told, I  never heard of The National Review until they ""tried"" to declare war on you. No worries, you got my vote!"""
1562,[JebBush],4900.0,,1700.0,,7:42 AM - 22 Jan 2016,"After spending $89 million, @JebBush is at the bottom of the barrel in polls. He is ashamed to use the name ""Bush"" in ads. Low energy guy!"
1563,[NRO],5500.0,,2200.0,,6:24 AM - 22 Jan 2016,The failing @NRO National Review Magazine has just been informed by the Republican National Committee that they cannot participate in debate
1564,[MiamiNewTimes],4200.0,,1800.0,,6:10 AM - 22 Jan 2016,"""@MiamiNewTimes: Poll: Trump has more support in Florida than Rubio and Bush combined. http://bit.ly/1niL6oL  pic.twitter.com/2tvIaa2aFr"""
1565,[CyberCiety],2400.0,,809.0,"[MaryBrigidMcManamon, CommonLaw, NaturalBorn, TedCruz]",6:00 AM - 22 Jan 2016,"""@CyberCiety: #MaryBrigidMcManamon clarified how #CommonLaw is used to interpret meaning of #NaturalBorn #TedCruz pic.twitter.com/5y6SZrTdGr"""
1566,[d],2400.0,,888.0,"[MaryBrigidMcManamon, Cruz]",5:59 AM - 22 Jan 2016,"""@D: #MaryBrigidMcManamon, Washington Post: Constitutionally speaking, #Cruz simply isn’t eligible to be president https://twitter.com/realDonaldTrump/status/688393139435008000 …"""
1567,,4700.0,,2000.0,,5:54 AM - 22 Jan 2016,"Highly respected Constitutional law professor Mary Brigid McManamon has just stated, ""Ted Cruz is not eligible to be President."" Big problem"
1568,"[TruBluMajority, WBUR, pbsgwen, charlierose, jaketapper]",2000.0,,644.0,[laurencetribe],5:43 AM - 22 Jan 2016,"""@TruBluMajority: #laurencetribe calls Cruz ""constitutional hypocrite"" on @WBUR http://wbur.fm/1OSNkVV  @pbsgwen @charlierose @jaketapper"
1569,,2200.0,,762.0,"[TedCruz, LaurenceTribe]",5:41 AM - 22 Jan 2016,"#TedCruz eligibility to be President not settled law, says Cruz' Constitutional Law Professor, #LaurenceTribe https://twitter.com/eastvillagetwt/status/687843283595309057 …"""
1570,"[NeilTurner_, realDonaldTrump]",2300.0,,782.0,"[MakeAmericaGreatAgain, VoteTrump]",5:39 AM - 22 Jan 2016,"""@NeilTurner_: @realDonaldTrump https://www.youtube.com/watch?v=1FJ6WYtLgbo … With your help we can #MakeAmericaGreatAgain! #VoteTrump"""
1571,"[BornToBeGOP, realDonaldTrump]",2500.0,,685.0,[TrumpTrain],5:36 AM - 22 Jan 2016,"""@BornToBeGOP: @realDonaldTrump No sleep for the #TrumpTrain!"""
1572,[realOllieTaylor],3100.0,,925.0,,5:36 AM - 22 Jan 2016,"""@realOllieTaylor:  Isn't it time we had a president? Let goofy Glen keep Canada Cruz who can't win. The American people have Trump!"""
1573,,4300.0,,1600.0,,5:34 AM - 22 Jan 2016,"Ted Cruz complains about my views on eminent domain, but without it we wouldn't have roads, highways, airports, schools or even pipelines."
1574,,5600.0,,2300.0,,7:57 PM - 21 Jan 2016,"The late, great, William F. Buckley would be ashamed of what had happened to his prize, the dying National Review!"
1575,,5200.0,,1800.0,,7:56 PM - 21 Jan 2016,"Very few people read the National Review because it only knows how to criticize, but not how to lead."
1576,,6200.0,,2200.0,,7:56 PM - 21 Jan 2016,National Review is a failing publication that has lost it's way. It's circulation is way down w its influence being at an all time low. Sad!
1577,,5700.0,,2500.0,"[FITN, IACaucus, MakeAmericaGreatAgain, Trump2016]",4:57 PM - 21 Jan 2016,"Thank you, Iowa! #FITN #IACaucus
#MakeAmericaGreatAgain #Trump2016pic.twitter.com/wVJldvTSag"
1578,[greta],5300.0,,1600.0,,4:54 PM - 21 Jan 2016,"Why does @Greta have a fired Bushy like dummy, John Sununu on- spewing false info? I will beat Hillary by a lot, she wants no part of Trump."
1579,,5000.0,,1800.0,[Trump2016],3:29 PM - 21 Jan 2016,"Thank you, New Hampshire!
#Trump2016pic.twitter.com/TG9oZKly4l"
1580,,4400.0,,1500.0,[Trump2016],3:29 PM - 21 Jan 2016,Thank you! #Trump2016pic.twitter.com/pcdmyIO1Zt
1581,,6100.0,,2400.0,[Trump2016],3:21 PM - 21 Jan 2016,"Thank you, Iowa! #Trump2016pic.twitter.com/ryhEheTLqN"
1582,[jacknicklaus],4400.0,,1100.0,,12:40 PM - 21 Jan 2016,"Happy birthday to my friend, the great @jacknicklaus - a totally special guy!"
1583,[AlisynCamerota],4600.0,,1400.0,,12:36 PM - 21 Jan 2016,New Day on CNN treats me very badly. @AlisynCamerota is a disaster. Not going to watch anymore.
1584,[JebBush],8700.0,,3000.0,,6:32 AM - 21 Jan 2016,Low energy candidate @JebBush has wasted $80 million on his failed presidential campaign. Millions spent on me. He should go home and relax!
1585,[JebBush],6600.0,,2300.0,,6:19 AM - 21 Jan 2016,"Sad sack @JebBush has just done another ad on me, with special interest money, saying I won't beat Hillary - I WILL. But he can't beat me."
1586,[CNN],6000.0,,2000.0,,6:04 AM - 21 Jan 2016,So sad that @CNN and many others refused to show the massive crowd at the arena yesterday in Oklahoma. Dishonest reporting!
1587,"[AmericanAsPie, glennbeck, SarahPalinUSA]",3400.0,,1400.0,,5:57 AM - 21 Jan 2016,"""@AmericanAsPie:  @glennbeck @SarahPalinUSA Remember when Glenn gave out gifts to ILLEGAL ALIENS at crossing the border? Me too!"""
1588,,3800.0,,1600.0,"[MakeAmericaGreatAgain, Trump2016]",5:52 AM - 21 Jan 2016,"#MakeAmericaGreatAgain #Trump2016
UNIFYING THE NATION
Video: https://www.facebook.com/DonaldTrump/videos/10156553066190725/ …pic.twitter.com/Md10pL1wn8"
1589,[NeilTurner_],3100.0,,1100.0,[VoteTrump],5:51 AM - 21 Jan 2016,"""@NeilTurner_: https://www.youtube.com/watch?v=1FJ6WYtLgbo … You're the only candidate we can trust, other candidates are controlled by their donors! #VoteTrump"""
1590,"[glennbeck, SarahPalinUSA]",4800.0,,1900.0,,5:42 AM - 21 Jan 2016,"Wacko @glennbeck is a sad answer to the @SarahPalinUSA endorsement that Cruz so desperately wanted. Glenn is a failing, crying, lost soul!"
