,at,like,loc,re,tag,time,twit
0,[montgomeriefdn],2800.0,,1000.0,,4:36 PM - 20 May 2016,"@montgomeriefdn  Colin, great to have you at Trump Turnberry. So proud of you and your GREAT playing! You made winning MAJORS look easy!"
1,"[montgomeriefdn, TrumpTurnberry]",7500.0,,1800.0,,4:27 PM - 20 May 2016,"""@montgomeriefdn: @TrumpTurnberry Best Links Course in Britain. Ailsa Course opens June '16 Can't wait to play it pic.twitter.com/HnQbj3ipuS"""
2,[TGowdySC],13000.0,,4600.0,[Trump2016],3:50 PM - 20 May 2016,Thank you for your wonderful endorsement today @TGowdySC. It means a great deal to me. We will not disappoint! #Trump2016
3,[NRA],14000.0,,4400.0,"[MakeAmericaGreatAgain, Trump2016]",2:55 PM - 20 May 2016,"Great day in Kentucky with Wayne LaPierre, Chris Cox & the @NRA! 
#MakeAmericaGreatAgain #Trump2016pic.twitter.com/aJ7s0aqqj0"
4,"[NRA, GOPconvention]",16000.0,,6600.0,"[Trump2016, 2A, NRA, NRAAM]",1:06 PM - 20 May 2016,Thank you! An honor to be the first candidate ever endorsed by the @NRA- prior to @GOPconvention! #Trump2016 #2Ahttps://twitter.com/nra/status/733731153719525377 …
5,[nytimes],12000.0,United States,3600.0,,9:11 AM - 20 May 2016,Failing @NYTimes will always take a good story about me and make it bad. Every article is unfair and biased. Very sad!
6,[piersmorgan],15000.0,United States,4700.0,,9:09 AM - 20 May 2016,"Thanks @piersmorgan! 
""Trump is the most unpredictable, extraordinary, entertaining&massively popular candidate this country has ever seen."""
7,[NRA],11000.0,,6300.0,"[SecondAmendment, 2A]",8:36 AM - 20 May 2016,Crooked Hillary Clinton- discussing the #SecondAmendment at a private event. #2A cc: @NRApic.twitter.com/vV31Pbpkmn
8,,7600.0,"New York, NY",2700.0,[NRAAM],8:15 AM - 20 May 2016,I am on my way! See you all soon!https://twitter.com/nra/status/733656029322457088 …
9,[JasonDovEsq],6000.0,,2000.0,,7:30 AM - 20 May 2016,"""A Call for Unity"" by Jason Greenblatt @JasonDovEsqhttps://medium.com/@jgreenblatt/a-call-for-unity-2e7a33eceef3#.k45jbtw9t …"
10,,20000.0,,6200.0,,3:26 AM - 20 May 2016,Crooked Hillary can't even close the deal with Bernie - and the Dems have it rigged in favor of Hillary. Four more years of this? No way!
11,,18000.0,,6100.0,,3:08 AM - 20 May 2016,Crooked Hillary Clinton looks presidential? I don't think so! Four more years of Obama and our country will never come back. ISIS LAUGHS!
12,,17000.0,,5900.0,,2:58 AM - 20 May 2016,"Look where the world is today, a total mess, and ISIS is still running around wild. I can fix it fast, Hillary has no chance!"
13,,14000.0,,4700.0,,2:47 AM - 20 May 2016,"Crooked Hillary has zero imagination and even less stamina. ISIS, China, Russia and all would love for her to be president. 4 more years!"
14,,17000.0,,5400.0,,2:40 AM - 20 May 2016,"I said that Crooked Hillary Clinton is ""not qualified"" to be president because she has ""very bad judgement"" - Bernie said the same thing!"
15,[LtStevenLRogers],13000.0,,4900.0,,12:36 PM - 19 May 2016,Thank you @LtStevenLRogers. We will respond to terrorism with strength in 2017!https://amp.twimg.com/v/55610e7e-e370-4f5e-a031-0098a264184d …
16,[nytimes],18000.0,,5200.0,,10:29 AM - 19 May 2016,How quality a woman is Rowanne Brewer Lane to have exposed the @nytimes as a disgusting fraud?  Thank you Rowanne.
17,,35000.0,,13000.0,,3:27 AM - 19 May 2016,"Looks like yet another terrorist attack. Airplane departed from Paris. When will we get tough, smart and vigilant? Great hate and sickness!"
18,,17000.0,,4700.0,,7:52 PM - 18 May 2016,My list of potential U.S. Supreme Court Justices was very well recieved. During the next number of weeks I may be adding to the list!
19,[nytimes],16000.0,,4700.0,,6:54 PM - 18 May 2016,"Some low-life journalist claims that I ""made a pass"" at her 29 years ago. Never happened! Like the @nytimes story which has become a joke!"
20,,15000.0,,4900.0,[Trump2016],10:47 AM - 18 May 2016,Thank you Louisiana! #Trump2016pic.twitter.com/u8hhrRRFMp
21,,14000.0,,4300.0,[MakeAmericaGreatAgain],10:38 AM - 18 May 2016,"Thank you Arizona! See you soon!
#MakeAmericaGreatAgainpic.twitter.com/IC3pe5lRAS"
22,[AlisonForKY],11000.0,,3600.0,,9:39 AM - 18 May 2016,Why did Clinton supporter @AlisonForKY declare Crooked Hillary winner in KY when AP hasn't even called the race?
23,,21000.0,,7400.0,,4:20 AM - 18 May 2016,Bernie Sanders is being treated very badly by the Democrats - the system is rigged against him. Many of his disenfranchised fans are for me!
24,[CNN],13000.0,,4800.0,,9:22 PM - 17 May 2016,"Paul Begala, the dopey @CNN flunky and head of the Pro-Hillary Clinton Super PAC, has knowingly committed fraud in his first ad against me."
25,"[ShoneeP, realDonaldTrump]",9900.0,,3100.0,,9:03 PM - 17 May 2016,"""@ShoneeP: @realDonaldTrump Trump for President! Bernie is a joke, knows nothing - and Hillary is yesterday's and today's nightmare"""
26,[MagicMetalNinja],11000.0,,3700.0,[AmericaFIRST],8:46 PM - 17 May 2016,"""@MagicMetalNinja:  The Trump movement will not be stopped. We support Trump because he is a true American looking out for #AmericaFIRST."""
27,,22000.0,,6500.0,,8:24 PM - 17 May 2016,"Congratulations to THE MOVEMENT, we have just won THE GREAT STATE OF OREGON. The vote percentage is even higher than anticipated! Thank you."
28,,15000.0,,4900.0,"[Trump2016, MakeAmericaGreatAgain]",8:15 PM - 17 May 2016,"Thank you Oregon! #Trump2016
#MakeAmericaGreatAgainpic.twitter.com/hK1yqlp9ca"
29,"[LouDobbs, realDonaldTrump]",10000.0,,3600.0,[MakeAmericaGreatAgain],7:41 PM - 17 May 2016,"""@LouDobbs: Hillary Just Handed @realDonaldTrump a Huge Gift: Promising to Put Bubba in Charge of the Economy! #MakeAmericaGreatAgain!"
30,"[sandrajeanne48, TheFive]",10000.0,,3500.0,,7:40 PM - 17 May 2016,"""@sandrajeanne48: No way I believe Trump at 70% disapproval with women. Went to 3 rallies. At least 1/2 women. MSM LIES @TheFive"""
31,[nytimes],10000.0,,3100.0,,7:38 PM - 17 May 2016,"Michael Barbaro, the author of the now discredited @nytimes hit piece on me with women, has in past tweeted badly about me. He should resign"
32,"[michael_favreau, JIS3, realDonaldTrump]",7600.0,,2200.0,,7:14 PM - 17 May 2016,"""@michael_favreau: @JIS3 @realDonaldTrump He will destroy Hillary but why give CNN record breaking ratings CNN can go to hell. Trump 2016"""
33,,22000.0,,8000.0,,6:53 PM - 17 May 2016,"I look so forward to debating Crooked Hillary Clinton! Democrat Primaries are rigged, e-mail investigation is rigged - so time to get it on!"
34,[CNN],13000.0,,4400.0,,6:49 PM - 17 May 2016,I can't believe that @CNN would allow the very nice Jeffrey Lord to be savaged by a panel of seven Trump haters. 7 to 1 - Don't watch CNN!
35,"[COWBOYSFORTRUMP, ChristiChat, Rockprincess818, realDonaldTrump]",7100.0,,2000.0,,6:37 PM - 17 May 2016,"""@COWBOYSFORTRUMP: @ChristiChat @Rockprincess818 @realDonaldTrump That man is a pillar of strength and will be perfect as our next president"
36,,16000.0,,4000.0,,6:04 PM - 17 May 2016,"Well, that is it. Well done Megyn --- and they all lived happily ever after! Now let us all see how ""THE MOVEMENT"" does in Oregon tonight!"
37,,6300.0,,1100.0,,5:57 PM - 17 May 2016,Will go back on for a final question now!
38,"[jrector34, realDonaldTrump]",4900.0,,901.0,,5:56 PM - 17 May 2016,"""@jrector34: @realDonaldTrump Amazing job"""
39,[mai_Ttag],7300.0,,1800.0,,5:56 PM - 17 May 2016,"""@mai_Ttag:  Great interview! Happy you had a chance to show the other side of you. Never change, never forget you are our messenger!"""
40,,8300.0,,2200.0,,5:53 PM - 17 May 2016,I like Michael Douglas!
41,"[thydanielflores, megynkelly, realDonaldTrump]",5600.0,,1200.0,,5:48 PM - 17 May 2016,"""@thydanielflores: .@megynkelly @realDonaldTrump Best interview that I have ever seen."
42,"[CostaKenneth, megynkelly, realDonaldTrump]",5100.0,,1000.0,,5:47 PM - 17 May 2016,"""@CostaKenneth: @megynkelly @realDonaldTrump Great interview Megyn"""
43,"[svhlevi, DiamondandSilk, realJeffreyLord, realDonaldTrump, CNN]",5700.0,,1400.0,,5:47 PM - 17 May 2016,"""@svhlevi: @DiamondandSilk @realJeffreyLord @realDonaldTrump @CNN and we love you Diamond and Silk""  I do also!"
44,[johnjohnlacca],6300.0,,1400.0,[MegynKellyPresents],5:45 PM - 17 May 2016,"""@johnjohnlacca: Donald u have done a terrific job so far on the interview. Cannot wait until u r president #MegynKellyPresents"
45,"[markgruber1960, megynkelly, realDonaldTrump]",5500.0,,1300.0,,5:43 PM - 17 May 2016,"""@markgruber1960: @megynkelly @realDonaldTrump That's why he is so successful. He is driven to succeed""  True!"
46,"[ladytsbrug, realDonaldTrump]",4800.0,,998.0,,5:43 PM - 17 May 2016,"""@ladytsbrug: Lovely interview, Mr. Trump! @realDonaldTrump"" Thanks."
47,"[Janik1968, realDonaldTrump, SpeakerRyan]",5400.0,,1200.0,,5:42 PM - 17 May 2016,"""@Janik1968: @realDonaldTrump @SpeakerRyan Watched the Megan Kelly special and I must say..it was very well done on both their parts"""
48,"[KaceyIlliot1669, realDonaldTrump]",4900.0,,1000.0,,5:41 PM - 17 May 2016,"""@KaceyIlliot1669: @realDonaldTrump We actually really do love you!"" Great!"
49,"[johnkirtley, megynkelly, realDonaldTrump]",5200.0,,1100.0,[MakeAmericaGreatAgain],5:41 PM - 17 May 2016,"""@johnkirtley:  @megynkelly @realDonaldTrump #MakeAmericaGreatAgain Thank you for this discourse. Wounds have been healed. Great job!"""
50,"[jlund04, megynkelly, realDonaldTrump]",5000.0,,1000.0,,5:40 PM - 17 May 2016,"""@jlund04: @megynkelly @realDonaldTrump it was refreshing to see you both in a different light. Well done."""
51,"[FrankDallasAgg, megynkelly, realDonaldTrump]",6000.0,,1700.0,,5:37 PM - 17 May 2016,"""@FrankDallasAgg: @megynkelly @realDonaldTrump Trump is a great man and is FIGHTING for We The People!"""
52,"[LADYJOANNE, megynkelly, realDonaldTrump]",5100.0,,1200.0,,5:35 PM - 17 May 2016,"""@LADYJOANNE: @megynkelly @realDonaldTrump we need Trump more then ever Megyn. Thanks."
53,"[LADYJOANNE, megynkelly, realDonaldTrump]",4800.0,,1000.0,,5:34 PM - 17 May 2016,"""@LADYJOANNE: @megynkelly @realDonaldTrump we need Trump more then ever Megan Please don't lose it for America for us!"""
54,"[curtandkaren, megynkelly, realDonaldTrump]",6800.0,,1600.0,,5:33 PM - 17 May 2016,"""@curtandkaren: Kudos to @megynkelly and @realDonaldTrump for rising above the drama and coming together. Very respectful and classy """
55,"[gerriweth, megynkelly, realDonaldTrump]",5200.0,,1100.0,,5:32 PM - 17 May 2016,"""@gerriweth: @megynkelly @realDonaldTrump Made me feel good to hear you both so gracious. Great job"""
56,"[SandraR67758219, realDonaldTrump]",5800.0,,1500.0,,5:32 PM - 17 May 2016,"""@SandraR67758219: @realDonaldTrump You are a fighter and we LOVE that about you! Don't listen to these people who want you to change!"""
57,"[longbyfive, realDonaldTrump, megynkelly]",5300.0,,1000.0,,5:29 PM - 17 May 2016,"""@longbyfive: @realDonaldTrump great interview with @megynkelly !"" Thanks."
58,"[HFFoundation4, realDonaldTrump, BernieSanders, HillaryClinton]",6100.0,,1700.0,[Trump],5:28 PM - 17 May 2016,"""@HFFoundation4: @realDonaldTrump One thing we know for sure @BernieSanders supporters will turn to #Trump - absolutely not @HillaryClinton"""
59,"[wesleyfelixpsi, realDonaldTrump, FoxNews, megynkelly]",5500.0,,1500.0,,5:27 PM - 17 May 2016,"""@wesleyfelixpsi: @realDonaldTrump speaks from the heart 4 all of America.His intention is for a positive future 4 all. @FoxNews @megynkelly"
60,"[manakoa, megynkelly]",7100.0,,1500.0,,5:26 PM - 17 May 2016,"""@manakoa:DonaldTrump, you are fearless! This interview shows you are the Leader we need. @megynkelly is a tough interview! Respect to both"""
61,"[ragdollive, megynkelly, realDonaldTrump]",4700.0,,1000.0,,5:15 PM - 17 May 2016,"""@ragdollive: @megynkelly @realDonaldTrump what's with the soft wimpy questions?!? It's not a therapy session ..!!"" Not really soft at all!"
62,"[xGodfatherxzx, realDonaldTrump]",4800.0,,1000.0,,5:14 PM - 17 May 2016,"""@xGodfatherxzx: @realDonaldTrump amazing on Megan Kelly"" Thanks."
63,"[TrumpTrainRider, realDonaldTrump, megynkelly]",4900.0,,1100.0,,5:06 PM - 17 May 2016,"""@TrumpTrainRider: .@realDonaldTrump Watching you on Fox with @megynkelly now. Can't wait to hear what you two talked about."""
64,[megynkelly],6800.0,,1700.0,,4:49 PM - 17 May 2016,I will be live tweeting @megynkelly Show in 10 minutes. Should be interesting. Will be on Fox Network! ENJOY!
65,,8500.0,,2600.0,,4:42 PM - 17 May 2016,"Wall Street paid for ad is a fraud, just like Crooked Hillary! Their main line had nothing to do with women, and they knew it. Apologize?"
66,,12000.0,,3800.0,,4:37 PM - 17 May 2016,"Do you think Crooked Hillary will finally close the deal? If she can't win Kentucky, she should drop out of race. System rigged!"
67,[megynkelly],21000.0,,5400.0,,2:19 PM - 17 May 2016,I will be live tweeting my interview with @megynkelly on the Fox Network tonight at 8! Enjoy!pic.twitter.com/nlJssZeIWm
68,[megynkelly],13000.0,,3400.0,,8:25 AM - 17 May 2016,"I look forward to watching @megynkelly tonight, 8 PM ET. It will be interesting to see how she treats me—I think she will be very fair."
69,,23000.0,,8700.0,,7:21 AM - 17 May 2016,"How can Crooked Hillary put her husband in charge of the economy when he was responsible for NAFTA, the worst economic deal in U.S. history?"
70,,15000.0,,5500.0,,7:17 AM - 17 May 2016,"Crooked Hillary said her husband is going to be in charge of the economy.If so, he should run,not her.Will he bring the ""energizer"" to D.C.?"
71,,7200.0,,2900.0,"[VoteTrump, ORPrimary]",6:58 AM - 17 May 2016,"#VoteTrump at clerk's offices & 185 ballot drop boxes in #ORPrimary!
Closes at 8pm! http://bit.ly/1TXfrExVoteTRUMP …https://amp.twimg.com/v/b53a4f3e-1861-4ad8-9542-46fa22e9a0fb …"
72,,12000.0,,3900.0,,5:31 AM - 17 May 2016,Crooked Hillary can't close the deal with Bernie Sanders. Will be another bad day for her!
73,,36000.0,,15000.0,,4:58 AM - 17 May 2016,Amazing that Crooked Hillary can do a hit ad on me concerning women when her husband was the WORST abuser of woman in U.S. political history
74,,12000.0,,4200.0,,4:52 AM - 17 May 2016,Oregon is voting today. Keep the big numbers going - VOTE TRUMP! MAKE AMERICA GREAT AGAIN!
75,,12000.0,,3700.0,,4:46 AM - 17 May 2016,Crooked Hillary Clinton put out an ad where I am misquoted on women. Can't believe she would misrepresent the facts! My hit was on China
76,,14000.0,,5100.0,,4:37 AM - 17 May 2016,"The pathetic new hit ad against me misrepresents the final line. ""You can tell them to go BLANK themselves"" - was about China, NOT WOMEN!"
77,,22000.0,,8800.0,,4:29 AM - 17 May 2016,"Wow, 30,000 e-mails were deleted by Crooked Hillary Clinton. She said they had to do with a wedding reception. Liar! How can she run?"
78,"[AprilLaJune, realDonaldTrump]",10000.0,,3700.0,,9:40 PM - 16 May 2016,"""@AprilLaJune: OREGON votes today! Go vote for @realDonaldTrump and kick it BIG TIME! pic.twitter.com/SLYwyM8w1D"""
79,,10000.0,,3200.0,,9:02 PM - 16 May 2016,"What Barbara Res does not say is that she would call my company endlessly, and for years, trying to come back. I said no."
80,,13000.0,,4100.0,,8:46 PM - 16 May 2016,"I gave a woman named Barbara Res a top N.Y. construction job, when that was unheard of, and now she is nasty. So much for a nice thank you!"
81,,24000.0,,9800.0,,6:08 PM - 16 May 2016,"""In politics, and in life, ignorance is not a virtue."" This is a primary reason that President Obama is the worst president in U.S. history!"
82,[nytimes],14000.0,,4700.0,,3:15 PM - 16 May 2016,"The writer of the now proven false story in the @nytimes, Michael Barbaro, who was interviewed on CBS this morning, was unable to respond."
83,[nytimes],15000.0,,5100.0,,3:14 PM - 16 May 2016,Over 50 women were interviewed by the @nytimes yet they only wrote about 6. That’s because there were so many positive statements.
84,[nytimes],12000.0,,3900.0,,3:13 PM - 16 May 2016,"No wonder the @nytimes is failing—who can believe what they write after the false, malicious & libelous story they did on me."
85,[nytimes],12000.0,,3600.0,,3:12 PM - 16 May 2016,The failing @nytimes is greatly embarrassed by the totally dishonest story they did on my relationship with women.
86,"[nytimes, foxandfriends]",9700.0,,4000.0,,2:50 PM - 16 May 2016,"Rowanne Brewer, the most prominently depicted woman in the failing @nytimes story yesterday joined @foxandfriends.https://amp.twimg.com/v/ebf3185d-9258-407b-a53a-a92289f9e7fb …"
87,"[Scaramucci, WSJ]",8100.0,,3100.0,,11:19 AM - 16 May 2016,"Thank you, Anthony @Scaramucci @WSJ ""The Entrepreneur's Case for Trump""http://www.wsj.com/articles/the-entrepreneurs-case-for-trump-1463344997?mod=trending_now_ …"
88,[nytimes],17000.0,,5800.0,,8:25 AM - 16 May 2016,"With the coming forward today of the woman central to the failing @nytimes hit piece on me, we have exposed the article as a fraud!"
89,[CNN],13000.0,,4200.0,,6:24 AM - 16 May 2016,"A political commentator for @cnn, which I no longer watch, said ""Trump showed some weakness in the Repub Primaries."" I set all-time record!"
90,"[nytimes, foxandfriends]",14000.0,,4700.0,,6:12 AM - 16 May 2016,"Wow, Rowanne Brewer, the most prominently depicted woman in the failing @nytimes story yesterday, was on @foxandfriends saying Times lied"
91,[nytimes],13000.0,,4500.0,,6:09 AM - 16 May 2016,"The @nytimes is so dishonest. Their hit piece cover story on me yesterday was just blown up by Rowanne Brewer, who said it was a lie!"
92,"[foxandfriends, nytimes]",13000.0,,4300.0,,4:00 AM - 16 May 2016,That was an amazing interview on @foxandfriends - I hope the rest of the media picks it up to show how totally dishonest the @nytimes is!
93,,27000.0,,10000.0,,3:00 AM - 16 May 2016,"Bernie Sanders is being treated very badly by the Dems. The system is rigged against him. He should run as an independent! Run Bernie, run."
94,,24000.0,,9400.0,"[MakeAmericaGreatAgain, Trump2016]",7:23 PM - 15 May 2016,"Great new poll- thank you!
#MakeAmericaGreatAgain #Trump2016pic.twitter.com/SZyZ8GkF23"
95,[washingtonpost],16000.0,,6200.0,,6:25 PM - 15 May 2016,The @washingtonpost report on potential VP candidates is wrong. Marco Rubio and most others mentioned are NOT under consideration.
96,,17000.0,,5000.0,[Trump2016],2:26 PM - 15 May 2016,"Thank you Georgia! See you soon!
#Trump2016pic.twitter.com/8yFd6qA4rD"
97,,24000.0,,8600.0,,12:26 PM - 15 May 2016,"The media is really on a witch-hunt against me. False reporting, and plenty of it - but we will prevail!"
98,[nytimes],14000.0,,4600.0,,12:11 PM - 15 May 2016,Why did the failing @nytimes refuse to use any of the names given to them that I was so proud to have helped with their careers. DISHONEST!
99,[nytimes],17000.0,,5100.0,,12:06 PM - 15 May 2016,"Wow, I have had so many calls from high ranking people laughing at the stupidity of the failing @nytimes piece. Massive front page for that!"
100,[nytimes],22000.0,,8600.0,,4:32 AM - 15 May 2016,Why doesn't the failing @nytimes write the real story on the Clintons and women? The media is TOTALLY dishonest!
101,"[TakingIt_Back, nytimes]",11000.0,,3500.0,[Trump2016],4:16 AM - 15 May 2016,"""@TakingIt_Back:  @nytimes keep shining....the ppl will not let the media dim your light...we no longer believe them! #Trump2016"" Thanks."
102,"[tzard000, realDonaldTrump, nytimes]",12000.0,,3400.0,,4:14 AM - 15 May 2016,"""@tzard000: @realDonaldTrump @nytimes Everyone continues to pile onto Donald, but they can NEVER take away our votes!""  Thank you!"
103,[nytimes],17000.0,,5100.0,,4:13 AM - 15 May 2016,Everyone is laughing at the @nytimes for the lame hit piece they did on me and women.I gave them many names of women I helped-refused to use
104,"[DistlerJoyce, realDonaldTrump, nytimes]",14000.0,,4700.0,,4:04 AM - 15 May 2016,"""@DistlerJoyce: @realDonaldTrump @nytimes OHIO WOMEN FOR TRUMP pic.twitter.com/wpxojJnjbb"""
105,[MrTohNey],7700.0,,2200.0,,4:02 AM - 15 May 2016,"""@MrTohNey: Leicester & DonaldTrump seem to have the same trajectory, both were written off, but they keep scaling the heights. History?"
106,"[QueenCharlotteO, realDonaldTrump, nytimes, realDonaldTrump]",8700.0,,2500.0,,4:00 AM - 15 May 2016,"""@QueenCharlotteO: @realDonaldTrump @nytimes I'm a women & I 100% support @realDonaldTrump & I have since the beginning. Thank you!"
107,[nytimes],13000.0,,3800.0,,3:55 AM - 15 May 2016,"The failing @nytimes wrote yet another hit piece on me. All are impressed with how nicely I have treated women, they found nothing. A joke!"
108,"[KellyRiddell, CNN, FoxNews]",7800.0,,2200.0,,3:49 AM - 15 May 2016,Thank you for the nice words this morning @KellyRiddell. Well delivered and totally logical! @CNN @FoxNews
109,[stranahan],12000.0,,4300.0,,7:06 PM - 14 May 2016,"""@stranahan: Sheldon Adelson Pledges $100 Million to Elect Trump President - Breitbart http://www.breitbart.com/2016-presidential-race/2016/05/14/sheldon-adelson-poised-give-donald-trump-donation-boost/ …"""
110,[CNN],26000.0,,8500.0,,8:16 AM - 14 May 2016,"Wow, @CNN is really working hard to make me look as bad  as possible. Very unprofessional. Hurting in ratings - bad television!"
111,,33000.0,,13000.0,,8:09 AM - 14 May 2016,Great new poll- thank you!pic.twitter.com/ytzesbCZas
112,,33000.0,,12000.0,,6:03 PM - 13 May 2016,"If Crooked Hillary Clinton can't close the deal on Crazy Bernie, how is she going to take on China, Russia, ISIS and all of the others?"
113,,18000.0,,7200.0,,1:31 PM - 13 May 2016,"An incredible honor to receive the endorsement of a person I
have such tremendous respect for. Thank you, Sheldon!https://www.washingtonpost.com/opinions/sheldon-adelson-i-endorse-donald-trump-for-president/2016/05/12/ea89d7f0-17a0-11e6-aa55-670cabef46e0_story.html …"
114,[thehill],17000.0,,6900.0,,11:40 AM - 13 May 2016,.@thehill  Your story about me & the carbon tax is absolutely incorrect—it is just the opposite. I will not support or endorse a carbon tax!
115,,24000.0,,6000.0,,7:32 PM - 12 May 2016,"Senator Lindsey Graham called me yesterday, very much to my surprise, and we had a very interesting talk about national security, and more!"
116,[SenateMajLdr],16000.0,,4800.0,[Trump2016],12:22 PM - 12 May 2016,Great meeting with @SenateMajLdr Mitch McConnell and Republican leaders in D.C. #Trump2016pic.twitter.com/R0NuOrZISX
117,[SpeakerRyan],29000.0,,8500.0,[Trump2016],11:12 AM - 12 May 2016,Great day in D.C. with @SpeakerRyan and Republican leadership. Things working out really well! #Trump2016pic.twitter.com/hfHY9MdAc7
118,,18000.0,,5800.0,,2:07 PM - 11 May 2016,"If it were up to goofy Elizabeth Warren, we’d have no jobs in America—she doesn’t have a clue."
119,[AP],16000.0,,4900.0,,1:51 PM - 11 May 2016,"In interview I told @AP that my taxes are under routine audit and I would release my tax returns when audit is complete, not after election!"
120,,28000.0,,10000.0,,1:41 PM - 11 May 2016,Isn’t it funny when a failed Senator like goofy Elizabeth Warren can spend a whole day tweeting about Trump & gets nothing done in Senate?
121,,12000.0,,3900.0,,1:22 PM - 11 May 2016,Goofy Elizabeth Warren lied when she says I want to abolish the Federal Minimum Wage. See media—asking for increase!
122,,14000.0,,4700.0,,1:03 PM - 11 May 2016,"Our Native American Senator, goofy Elizabeth Warren, couldn’t care less about the American worker…does nothing to help!"
123,,18000.0,,5800.0,,12:37 PM - 11 May 2016,Goofy Elizabeth Warren is now using the woman’s card like her friend crooked Hillary. See her dumb tweet “when a woman stands up to you…”
124,,14000.0,,4200.0,,12:18 PM - 11 May 2016,"If the people of Massachusetts found out what an ineffective Senator goofy Elizabeth Warren has been, she would lose!"
125,,15000.0,,5000.0,,12:09 PM - 11 May 2016,Thanks Piers.https://twitter.com/piersmorgan/status/730465526993039360 …
126,,15000.0,,4700.0,,10:12 AM - 11 May 2016,Goofy Elizabeth Warren didn’t have the guts to run for POTUS. Her phony Native American heritage stops that and VP cold.
127,,17000.0,,5400.0,,7:18 AM - 11 May 2016,Goofy Elizabeth Warren has been one of the least effective Senators in the entire U.S. Senate. She has done nothing!
128,,33000.0,,11000.0,,3:26 AM - 11 May 2016,I don't want to hit Crazy Bernie Sanders too hard yet because I love watching what he is doing to Crooked Hillary. His time will come!
129,,19000.0,,5800.0,,3:22 AM - 11 May 2016,"Big wins in West Virginia and Nebraska. Get ready for November - Crooked Hillary, who is looking very bad against Crazy Bernie, will lose!"
130,,19000.0,,6600.0,"[MakeAmericaGreatAgain, Trump2016]",6:04 PM - 10 May 2016,"Thank you Nebraska!
#MakeAmericaGreatAgain #Trump2016pic.twitter.com/RRma61oisz"
131,,21000.0,,7200.0,"[MakeAmericaGreatAgain, Trump2016]",5:05 PM - 10 May 2016,"Thank you West Virginia!
#MakeAmericaGreatAgain #Trump2016pic.twitter.com/iCGcF21fWY"
132,,30000.0,,11000.0,,12:31 PM - 10 May 2016,The Clintons spend millions on negative ads on me & I can’t tell the truth about her husband? Don’t feel sorry for crooked Hillary!
133,,12000.0,,4900.0,,10:39 AM - 10 May 2016,Hillary has bad judgment! https://www.instagram.com/p/BFPCtFfmhWB/ 
134,,11000.0,,3300.0,,10:13 AM - 10 May 2016,It was so great being in Nebraska last week. Today is the big day--get out and vote!
135,,19000.0,,5300.0,,9:18 AM - 10 May 2016,"I look very much forward to meeting w/Paul Ryan & the GOP Party Leadership on Thurs in DC. Together, we will beat the Dems at all levels!"
136,"[JTAnews, JasonDovEsq]",7900.0,,2800.0,,8:40 AM - 10 May 2016,"Via @JTAnews and Jason Greenblatt  ""Donald Trump is a Visionary With Talents Our Country Needs"" @JasonDovEsqhttp://www.jta.org/2016/04/18/news-opinion/politics/donald-trump-is-a-visionary-with-talents-our-country-needs …"
137,,11000.0,,4200.0,"[VoteTrump, MakeAmericaGreatAgain, Trump2016]",8:20 AM - 10 May 2016,"WEST VIRGINIA #VoteTrump TODAY!
#MakeAmericaGreatAgain #Trump2016pic.twitter.com/pndaZjsruy"
138,,9000.0,,3400.0,"[VoteTrump, MakeAmericaGreatAgain, Trump2016]",8:19 AM - 10 May 2016,"NEBRASKA #VoteTrump TODAY!
#MakeAmericaGreatAgain #Trump2016https://amp.twimg.com/v/ad8daeae-d04b-4c6f-a6c5-c84db749480a …"
139,,21000.0,,6500.0,,7:03 AM - 10 May 2016,It is only the people that were never asked to be VP that tell the press that they will not take the position.
140,[marthamaccallum],9900.0,,3100.0,,6:57 AM - 10 May 2016,"It was Rosie O'Donnell who ate the cake in the vicious Hillary commercial about me, not Crooked Hillary! @marthamaccallum"
141,,20000.0,,7700.0,,5:57 AM - 10 May 2016,"Why does the media, with a strong push from Crooked Hillary, keep pushing the false narrative that I want to raise taxes. Exactly opposite!"
142,[foxandfriends],8700.0,,2300.0,[RepMikeKelly],4:31 AM - 10 May 2016,. #RepMikeKelly  Great job on @foxandfriends this morning. Thank you for the nice words!
143,,14000.0,,4700.0,,3:27 AM - 10 May 2016,"Get out and vote Nebraska, we will MAKE AMERICA GREAT AGAIN!"
144,,13000.0,,4800.0,,3:20 AM - 10 May 2016,"Get out and vote West Virginia, we will MAKE AMERICA GREAT AGAIN!"
145,"[RedRising11, realDonaldTrump]",15000.0,,4800.0,"[NebraskaPrimary, Trump2016, TrumpForPresident]",7:15 PM - 9 May 2016,"""@RedRising11: I am a woman & I JUST VOTED FOR @realDonaldTrump #NebraskaPrimary #Trump2016 #TrumpForPresident pic.twitter.com/zgzwxQ92wZ"""
146,[JasonDovEsq],10000.0,,3900.0,,1:50 PM - 9 May 2016,"Thank you Jason Greenblatt @JasonDovEsq ""For Our Children: Let's Elect Donald Trump""https://medium.com/@jgreenblatt/for-our-children-lets-elect-donald-trump-b6f0d089377e#.b3fxz3gur …"
147,,20000.0,,6900.0,,10:21 AM - 9 May 2016,I am lowering taxes far more than any other candidate. Any negotiated increase by Congress to my proposal would still be lower than current!
148,,18000.0,,5700.0,,9:59 AM - 9 May 2016,I will have set the all time record in primary votes in the Republican party --despite having to compete against 17 other people!
